lambda [Angstrom],atmospheric_emission [arbitrary flux units]
6205.257,0.10473649
6207.9844,0.099285096
6210.7134,0.10513487
6213.4434,0.1039505
6216.1743,0.09448569
6218.9067,0.10076823
6221.64,0.12122177
6224.3745,0.10321104
6227.1104,0.09246392
6229.8477,0.09072997
6232.586,0.12988879
6235.3257,0.21656209
6238.0664,0.17080067
6240.808,0.13838111
6243.5513,0.12511256
6246.2954,0.10164967
6249.041,0.09913921
6251.7876,0.09155618
6254.5356,0.10708595
6257.2847,0.2041783
6260.035,0.15807813
6262.7866,0.11776237
6265.5396,0.13475902
6268.2935,0.112657614
6271.049,0.0980554
6273.805,0.10554744
6276.563,0.11506666
6279.322,0.10478025
6282.0815,0.09426258
6284.843,0.12657425
6287.6055,0.18876208
6290.369,0.11924026
6293.134,0.09710149
6295.9,0.15012659
6298.6675,0.8868214
6301.436,0.9282876
6304.2056,0.1820113
6306.9766,0.21969198
6309.749,0.12656426
6312.5225,0.09538048
6315.297,0.091449015
6318.0728,0.095653184
6320.85,0.12825514
6323.628,0.109886706
6326.4077,0.108219415
6329.1885,0.18318835
6331.97,0.13994874
6334.7534,0.09352059
6337.538,0.09081952
6340.3237,0.09399364
6343.1104,0.095742024
6345.8984,0.10093281
6348.688,0.11886026
6351.4785,0.099928565
6354.27,0.12293499
6357.063,0.1478705
6359.8574,0.12377136
6362.653,0.3927766
6365.449,0.30474356
6368.2476,0.09476809
6371.0464,0.09068318
6373.8467,0.091808885
6376.6484,0.09706138
6379.451,0.10810799
6382.2554,0.098702736
6385.0605,0.11594518
6387.867,0.11366541
6390.675,0.08990419
6393.484,0.0883139
6396.294,0.08785483
6399.1055,0.08679331
6401.918,0.09248244
6404.732,0.08857944
6407.5474,0.08462
6410.364,0.086810075
6413.181,0.09607795
6416,0.089249335
6418.8203,0.09448317
6421.6416,0.09507585
6424.4644,0.08660212
6427.288,0.08627299
6430.1133,0.0835697
6432.9395,0.08400892
6435.767,0.084904395
6438.5957,0.08231733
6441.426,0.082627885
6444.2573,0.08501099
6447.09,0.08600098
6449.9233,0.08876297
6452.759,0.092319414
6455.5947,0.08918105
6458.4326,0.094064064
